25 29 78 57 69
47 51  7 21 82
61 81 99 53 30
50 80 41 94 46
 9 37 48 71 91

26 10 29 27 90
21 65 44  5  1
42 51 35 11 98
72 23 41 95 48
40 97 99 92  2

20 70 21 58  5
63 29 16 71 45
43  7 26  0 62
24 75  9 87 55
88 10 11 47  4

 5 31 99 96 16
61 37 91 92 23
46  8 36  9 42
 3 32 49 64 48
15  2 47 53 55

28 40 96 38  9
33 11 65 76 13
24 35 20  3 99
95 78 51 74  4
80 14 44 98 58

24 55  8 59 65
96 11 15 12 99
21 75 35 85 34
20 53 72 50 70
61 48 74 41 36

61 32 13 42 90
81 22 66 75 51
46  1 41  9 34
86 50 48 64 74
72 85 97 11 71

16 32 41 37 61
14 31 29  6 79
28 97 11 15  9
13 72  3 85 64
81 95 20 77 69

42 76 14 78 35
49 89  7 81 90
13 18 32 24  9
10 98 12  2 65
82 21 67 70 84

89 38 21 83  5
 7 87 37 14 98
55 81 13 56 39
42 19 51 36 30
76 15 57 94 20

29 18 49 10 67
91 93 37 45 34
60  8 56 86 32
95 89 71 51 59
87  3 27 44 41

 9 71 95 12 42
83 90 98 79 49
72  1 53 80 33
29 82 65  4 25
92  5 76 54 66

72 85  4 39 29
86  0 95 30 21
11 51  2 99 38
58 52 25 59 77
69 74 37 87 32

99 16  9 63 55
79 50 48 96 92
47 35 15 93 76
19 70 25 49 38
80 60 43 69 81

50 19 10  7 83
79 52 14 51 55
68 65 54 21 62
71 25 34 70 92
